STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
04,1506,15060103,Upper Salt,1985,6.220,0.34,0.00,0.34,48.00,2.78,3.12,126.36,,,,,,,,,,,,
04,1506,15060104,Carrizo,1985,0.310,0.01,0.00,0.01,32.00,0.00,0.01,21.74,,,,,,,,,,,,
04,1506,15060105,Tonto,1985,0.200,0.02,0.00,0.02,100.00,2.39,2.41,159.61,,,,,,,,,,,,
04,1506,15060106,Lower Salt,1985,1.000,0.17,0.00,0.17,150.00,257.87,258.04,145.09,,,,,,,,,,,,
04,1506,15060201,Big Chino-Williamson Valley,1985,2.000,0.22,0.00,0.22,100.00,0.11,0.34,93.75,,,,,,,,,,,,
04,1506,15060202,Upper Verde,1985,0.900,0.10,0.00,0.10,100.00,9.02,9.12,126.03,,,,,,,,,,,,
04,1506,15060203,Lower Verde,1985,0.560,0.06,0.00,0.06,89.00,3.70,3.76,151.65,,,,,,,,,,,,
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1985,3.000,0.26,0.00,0.26,77.00,2.70,2.96,151.72,,,,,,,,,,,,
04,1507,15070102,Agua Fria,1985,8.600,0.61,0.00,0.61,63.00,22.41,23.01,168.61,,,,,,,,,,,,
04,1507,15070103,Hassayampa,1985,0.500,0.03,0.00,0.03,60.00,1.55,1.58,191.32,,,,,,,,,,,,
04,1507,15070104,Centennial Wash,1985,0.800,0.09,0.00,0.09,100.00,0.85,0.94,160.92,,,,,,,,,,,,
04,1507,15070201,Lower Gila,1985,9.350,2.43,0.00,2.43,232.00,2.80,5.24,181.36,,,,,,,,,,,,
04,1507,15070202,Tenmile Wash,1985,0.270,0.04,0.00,0.04,148.00,1.28,1.32,228.24,,,,,,,,,,,,
04,1507,15070203,San Cristobal Wash,1985,1.210,0.34,0.00,0.34,247.93,0.00,0.34,247.93,,,,,,,,,,,,
04,1508,15080101,San Simon Wash,1985,0.000,0.00,0.00,0.00,0.00,0.47,0.47,73.81,,,,,,,,,,,,
04,1508,15080102,Rio Sonoyta,1985,0.000,0.11,0.00,0.11,,0.11,0.22,400.00,,,,,,,,,,,,
04,1508,15080103,Tule Desert,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1508,15080200,Rio De La Concepcion,1985,1.500,0.25,0.00,0.25,146.67,0.00,0.25,146.67,,,,,,,,,,,,
04,1508,15080301,Whitewater Draw,1985,12.010,2.02,0.00,2.02,150.00,2.89,4.91,145.95,,,,,,,,,,,,
04,1508,15080302,San Bernardino Valley,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1508,15080302,San Bernardino Valley,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1508,15080303,Cloverdale,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
